taxon	(Intercept)	Water.TreatmentAcetic	Water.TreatmentCitric
Dietzia	1.92715952900207e-53	0.171303555686631	0.000519844033817731
CHKCI002	0.000783422562221322	1	0.0156720637022709
Bacteroides	4.11305774325119e-81	1	2.04446084054839e-10
Anaeroplasma	5.66233608251212e-18	0.368690371536984	0.000213594015920661
Erysipelatoclostridium	1.72252182540828e-135	1	3.31463634998859e-06
d__Bacteria_Firmicutes_Bacilli_Erysipelotrichales_Erysipelotrichaceae_uncultured	2.20474304901598e-54	1	0.00276283577673925
Aerococcus	0	1	0.00153886713573186
Clostridia_UCG-014	7.40944664260092e-302	1	0.000738682911896651
Anaerostipes	2.14444120717657e-204	1	7.93209169094447e-06
Eisenbergiella	9.10172439478843e-05	1	0.0111778484433092
Lachnoclostridium	0.01345163127506	1	0.0133883588412813
Shuttleworthia	1	1	0.00686069196598144
[Eubacterium]_coprostanoligenes_group	3.75144744933044e-135	1	1.37156251417239e-05
Butyricicoccus	3.63943196415535e-54	1	2.69790946041447e-05
UCG-009	0.842756330079656	1	0.00798453601915182
Colidextribacter	3.53745142480486e-26	1	0.000257328301614187
Oscillibacter	0.00190851242040049	1	0.0227597278146835
Fournierella	0.0987101712832488	1	0.0223349230801683
Incertae_Sedis	5.53365126728174e-108	1	0.00185241422569825
Unknown	0	1	0.0175505944105588
