taxon	(Intercept)	Water.TreatmentAcetic	Water.TreatmentCitric
Bifidobacterium	7.52099687592234e-48	0.899366232872218	0
Dietzia	8.46194374585764e-43	0.0835981279951348	6.83006759760523e-05
Enteractinococcus	1.196110541036e-137	0.657829735419722	0.0299155937931451
CHKCI002	0.00310810632244197	0.508588983435984	0.00103712186265028
Gordonibacter	8.52567159379704e-06	0.831495738379294	0.0274774068252461
Bacteroides	7.72566833172736e-65	0.876963137904893	2.04446084054839e-10
Myroides	4.69565829900687e-08	0.508588983435984	0.00702150577840042
Ulvibacter	0.140798907865682	0.900529430936396	0
Pedobacter	0.534861252003045	0	0.856475610374958
Gastranaerophilales	7.52099687592234e-48	0	0
Anaeroplasma	7.52099687592234e-48	0	0
Bacillus	0	0.859495305336127	0.0356763991479365
Erysipelatoclostridium	1.7182152256122e-112	0.97018862365949	1.66890781258167e-06
d__Bacteria_Firmicutes_Bacilli_Erysipelotrichales_Erysipelotrichaceae_uncultured	1.87454801645549e-37	0.508588983435984	0.000249278415946398
Aerococcus	0	0.95240066818043	0.000164145827811398
Pisciglobus	2.54720781605818e-05	0.8620780462361	0
Ammoniphilus	4.49932159973452e-10	0.81606217926923	0.00689080812740684
Paenibacillaceae	1.90756691744344e-05	0.689881009042131	0
RF39	4.8420508688212e-79	0.919081671251701	0.011812710456191
Christensenellaceae_R-7_group	0.000484894821228818	0.899366232872218	0.0147970576022045
Clostridia_UCG-014	2.22872864459866e-254	0.900529430936396	8.69038719878413e-05
Clostridia_vadinBB60_group	0.737317590786167	0.81606217926923	0.0165759698028863
Clostridium_sensu_stricto_15	0.00241033008798817	0.876963137904893	0
Anaerofustis	2.52598273535042e-09	0.576553381273877	0
[Ruminococcus]_torques_group	2.06466856147233e-135	0.954749708197199	0.0033793245777573
Anaerostipes	9.98617787268303e-158	0.940136159054914	2.68127043074179e-06
Eisenbergiella	0.000144940382038138	0.81606217926923	0.000825441115813605
GCA-900066575	0.588218256900893	0.347391259020585	0.00854610142269193
Lachnoclostridium	0.00465802892062169	0.823995304483203	0.000934071547066134
Lachnospiraceae_NK4A136_group	0.964357381070923	0.81606217926923	0.00649107665192451
Shuttleworthia	0.169945957351559	0.987753455962668	0.000575722402739701
Tyzzerella	0.588218256900893	0.81606217926923	0.0262109998930041
Monoglobus	0.335073796711599	0.899366232872218	0.0165759698028863
[Eubacterium]_coprostanoligenes_group	1.55231358029074e-110	0.899366232872218	3.50186173831249e-06
Butyricicoccus	5.57692731878303e-44	0.900529430936396	5.54998517570977e-06
UCG-008	7.52099687592234e-48	0	0
UCG-009	1.15555542215629e-05	0.831184451820346	0.00062692103967168
Colidextribacter	3.26452770255808e-20	0.81606217926923	3.83594983772701e-05
Flavonifractor	0.000243284470220195	0.823995304483203	0.0165759698028863
Intestinimonas	0.440798500398171	0.664287792917926	0.0165759698028863
NK4A214_group	0.177647614498096	0.899366232872218	0.0174392025799586
Oscillibacter	0.0015025688524439	0.899366232872218	0.00131096032212577
UCG-005	6.62394292932624e-07	0.949513014187611	0.0484270910774682
d__Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_uncultured	1.54163909128713e-06	0.876963137904893	0.00854610142269193
DTU089	7.52099687592234e-48	0	0
Faecalibacterium	1.13753207447659e-263	0.949513014187611	0.00321213917283949
Fournierella	0.0332214887107525	0.823995304483203	0.00131096032212577
Incertae_Sedis	6.81493522702789e-83	0.949513014187611	0.000180968553935243
Ruminococcus	0.391567637397294	0.81606217926923	0.0165759698028863
Subdoligranulum	0	0.630445927791578	0.00813029046222389
UBA1819	1.90756691744344e-05	0	0.36318132794881
Peptococcus	7.52099687592234e-48	0.899366232872218	0
d__Bacteria_Firmicutes_Clostridia_Peptococcales_Peptococcaceae_uncultured	7.52099687592234e-48	0	0
Family_XIII_UCG-001	7.52099687592234e-48	0	0
Gottschalkia	0.738978256853988	0.949513014187611	0
Ochrobactrum	7.52099687592234e-48	0	0
Pseudochrobactrum	0.651785335240157	0.831184451820346	0
Rhizorhapis	0.391567637397294	0.899366232872218	0
Parapusillimonas	0.0231748309020584	0.831184451820346	0.0243876125635643
Wohlfahrtiimonas	0.722052971645003	0.664287792917926	0
Gallibacterium	0.000953089696258069	0	0.396429282140846
Unknown	0	0.908336741514622	0.00110554925420843
